condition,pearson_r_left,pearson_r_right,delta_r,n_common_seeds,dataset,hvg,contrast
SEC61B_pDS033,0.4122055172920227,0.3815993070602417,0.030606210231781006,1,adamson,200,random - no_graph
SEC61B_pDS162,0.3628588318824768,0.3284745216369629,0.034384310245513916,1,adamson,200,random - no_graph
SEL1L_pDS373,0.36356157064437866,0.3485702872276306,0.014991283416748047,1,adamson,200,random - no_graph
SLC39A7_pDS219,0.4364761412143707,0.4363133907318115,0.0001627504825592041,1,adamson,200,random - no_graph
SLMO2_pDS433,0.8406226634979248,0.8085188269615173,0.03210383653640747,1,adamson,200,random - no_graph
SOCS1_pDS479,0.4044302701950073,0.3898056745529175,0.014624595642089844,1,adamson,200,random - no_graph
SPCS2_pDS401,0.4972281754016876,0.5022052526473999,-0.00497707724571228,1,adamson,200,random - no_graph
SRPR_pDS482,-0.19334210455417633,-0.21586787700653076,0.02252577245235443,1,adamson,200,random - no_graph
STT3A_pDS011,0.41005370020866394,0.4075253903865814,0.0025283098220825195,1,adamson,200,random - no_graph
TIMM23_pDS284,0.7907341718673706,0.7645874619483948,0.02614670991897583,1,adamson,200,random - no_graph
TMEM167A_pDS038,0.6499626636505127,0.6308284997940063,0.019134163856506348,1,adamson,200,random - no_graph
TTI2_pDS408,-0.17196278274059296,-0.1741783618927002,0.0022155791521072388,1,adamson,200,random - no_graph
UFL1_pDS410,0.5615937113761902,0.5428481698036194,0.0187455415725708,1,adamson,200,random - no_graph
UFM1_pDS040,0.5508124232292175,0.5369086265563965,0.013903796672821045,1,adamson,200,random - no_graph
YIPF5_pDS186,0.5612269043922424,0.545260488986969,0.015966415405273438,1,adamson,200,random - no_graph
AMIGO3_pDS434,0.4225650429725647,0.4263527989387512,-0.0037877559661865234,2,adamson,200,combined - random
ARHGAP22_pDS458,0.2775619626045227,0.28255605697631836,-0.004994094371795654,2,adamson,200,combined - random
ASCC3_pDS052,0.1936875581741333,0.1878202185034752,0.005867339670658112,2,adamson,200,combined - random
ATP5B_pDS055,0.6763884425163269,0.6728094816207886,0.00357896089553833,2,adamson,200,combined - random
CAD_pDS468,-0.09663714841008186,-0.09690365195274353,0.00026650354266166687,2,adamson,200,combined - random
CARS_pDS460,0.8525614440441132,0.8498828113079071,0.0026786327362060547,2,adamson,200,combined - random
CCND3_pDS006,-0.12328533083200455,-0.11722549423575401,-0.006059836596250534,2,adamson,200,combined - random
DAD1_pDS499,0.452762633562088,0.45562873780727386,-0.002866104245185852,2,adamson,200,combined - random
DARS_pDS495,0.7454557120800018,0.7381477355957031,0.007307976484298706,2,adamson,200,combined - random
DDRGK1_pDS041,0.5692722201347351,0.5706280171871185,-0.0013557970523834229,2,adamson,200,combined - random
DERL2_pDS042,0.5709728598594666,0.5749850869178772,-0.0040122270584106445,2,adamson,200,combined - random
DNAJC19_pDS026,0.9005346894264221,0.8978847563266754,0.002649933099746704,2,adamson,200,combined - random
EIF2AK3_pBA572,0.5271255075931549,0.5280686020851135,-0.0009430944919586182,2,adamson,200,combined - random
EIF2B4_pDS491,0.8580373525619507,0.8527316451072693,0.0053057074546813965,2,adamson,200,combined - random
GMPPB_pDS391,0.22784890979528427,0.22858528792858124,-0.0007363781332969666,2,adamson,200,combined - random
GNPNAT1_pDS506,-0.13289480656385422,-0.13398248702287674,0.001087680459022522,2,adamson,200,combined - random
Gal4-4(mod)_pBA582,0.4404483735561371,0.44476552307605743,-0.004317149519920349,2,adamson,200,combined - random
HARS_pDS466,0.8381601572036743,0.8368993401527405,0.0012608170509338379,2,adamson,200,combined - random
HSPA9_pDS088,0.7975981831550598,0.7958516776561737,0.0017465054988861084,2,adamson,200,combined - random
HYOU1_pDS089,0.33162057399749756,0.3278833478689194,0.003737226128578186,2,adamson,200,combined - random
IARS2_pDS090,0.8557908236980438,0.8531683385372162,0.0026224851608276367,2,adamson,200,combined - random
IDH3A_pDS393,0.22433209419250488,0.22668473422527313,-0.0023526400327682495,2,adamson,200,combined - random
IER3IP1_pDS002,0.5813387632369995,0.5872533321380615,-0.005914568901062012,2,adamson,200,combined - random
IER3IP1_pDS110,0.5750163495540619,0.5717708766460419,0.0032454729080200195,2,adamson,200,combined - random
KCTD16_pDS096,0.36830711364746094,0.37004876136779785,-0.001741647720336914,2,adamson,200,combined - random
MRGBP_pDS124,-0.01463153026998043,-0.016806102357804775,0.0021745720878243446,2,adamson,200,combined - random
MTHFD1_pDS395,0.13575246930122375,0.1363818719983101,-0.0006294026970863342,2,adamson,200,combined - random
OST4_pDS353,0.49127301573753357,0.48948347568511963,0.0017895400524139404,2,adamson,200,combined - random
P4HB_pDS397,0.16063932329416275,0.16299448907375336,-0.0023551657795906067,2,adamson,200,combined - random
PDIA6_pDS029,0.04885189235210419,0.0494965985417366,-0.0006447061896324158,2,adamson,200,combined - random
PSMD4_pDS488,-0.08222692832350731,-0.0792522095143795,-0.0029747188091278076,2,adamson,200,combined - random
QARS_pDS510,0.8708235025405884,0.8685018420219421,0.0023216605186462402,2,adamson,200,combined - random
