dataset,hvg,graph,seed,condition,pearson_r,spearman_rho,mse,jaccard,source_file
adamson,200,combined,43,EIF2AK3_pBA572,0.5278207063674927,0.5724580261224531,0.028413498774170876,0.2903225806451613,results_merged_3seed/hvg200/adamson__combined__s43f30-40.json
adamson,200,combined,43,EIF2B4_pDS491,0.8581606149673462,0.7781994968122864,0.04481840133666992,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s43f0-10.json
adamson,200,combined,43,GMPPB_pDS391,0.22638586163520813,0.15405535138378462,0.013080346398055553,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s43f30-40.json
adamson,200,combined,43,GNPNAT1_pDS506,-0.1348152458667755,-0.047800195004875125,0.014309246093034744,0.02564102564102564,results_merged_3seed/hvg200/adamson__combined__s43f40-50.json
adamson,200,combined,43,Gal4-4(mod)_pBA582,0.43980467319488525,0.47349883747093685,0.009578919969499111,0.08108108108108109,results_merged_3seed/hvg200/adamson__combined__s43f20-30.json
adamson,200,combined,43,HARS_pDS466,0.8397133350372314,0.7609213083782537,0.0956118032336235,0.6666666666666666,results_merged_3seed/hvg200/adamson__combined__s43f0-10.json
adamson,200,combined,43,HSPA9_pDS088,0.7984367609024048,0.7988089702242558,0.30600884556770325,0.5384615384615384,results_merged_3seed/hvg200/adamson__combined__s43f40-50.json
adamson,200,combined,43,HYOU1_pDS089,0.33147698640823364,0.4906112652816321,0.010388889349997044,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s43f40-50.json
adamson,200,combined,43,IARS2_pDS090,0.8565574884414673,0.8193860419208714,0.13409937918186188,0.6,results_merged_3seed/hvg200/adamson__combined__s43f10-20.json
adamson,200,combined,43,IDH3A_pDS393,0.22462104260921478,0.30856671416785425,0.01731925457715988,0.14285714285714285,results_merged_3seed/hvg200/adamson__combined__s43f10-20.json
adamson,200,combined,43,IER3IP1_pDS002,0.5821458101272583,0.639954998874972,0.025202983990311623,0.14285714285714285,results_merged_3seed/hvg200/adamson__combined__s43f0-10.json
adamson,200,combined,43,IER3IP1_pDS110,0.5753951072692871,0.5959738993474838,0.017864687368273735,0.25,results_merged_3seed/hvg200/adamson__combined__s43f10-20.json
adamson,200,combined,43,KCTD16_pDS096,0.36742550134658813,0.3734253356333909,0.010912551544606686,0.17647058823529413,results_merged_3seed/hvg200/adamson__combined__s43f30-40.json
adamson,200,combined,43,MRGBP_pDS124,-0.015434235334396362,0.2526273156828921,0.02407396398484707,0.25,results_merged_3seed/hvg200/adamson__combined__s43f20-30.json
adamson,200,combined,43,MTHFD1_pDS395,0.13612207770347595,0.15576389409735245,0.06377911567687988,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s43f40-50.json
adamson,200,combined,43,OST4_pDS353,0.49146702885627747,0.5170008688970846,0.00911946501582861,0.17647058823529413,results_merged_3seed/hvg200/adamson__combined__s43f0-10.json
adamson,200,combined,43,P4HB_pDS397,0.1595837026834488,0.2175999399985,0.01427345909178257,0.17647058823529413,results_merged_3seed/hvg200/adamson__combined__s43f30-40.json
adamson,200,combined,43,PDIA6_pDS029,0.04878241568803787,0.29422485562139056,0.04371563345193863,0.08108108108108109,results_merged_3seed/hvg200/adamson__combined__s43f30-40.json
adamson,200,combined,43,PSMD4_pDS488,-0.081497423350811,0.1756177062993097,0.11213920265436172,0.14285714285714285,results_merged_3seed/hvg200/adamson__combined__s43f30-40.json
adamson,200,combined,43,QARS_pDS510,0.8701343536376953,0.8035145878646966,0.100082628428936,0.5384615384615384,results_merged_3seed/hvg200/adamson__combined__s43f10-20.json
adamson,200,combined,43,SAMM50_pDS156,0.806122362613678,0.6663316582914574,0.016857238486409187,0.5384615384615384,results_merged_3seed/hvg200/adamson__combined__s43f20-30.json
adamson,200,combined,43,SEC61A1_pDS031,0.6380822658538818,0.6531208280207006,0.039875224232673645,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s43f0-10.json
adamson,200,combined,43,SEC61A1_pDS032,0.570012092590332,0.5577679441986051,0.049296315759420395,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s43f40-50.json
adamson,200,combined,43,SEC61B_pDS033,0.41191065311431885,0.3467891697292433,0.011771120131015778,0.17647058823529413,results_merged_3seed/hvg200/adamson__combined__s43f20-30.json
adamson,200,combined,43,SEC61B_pDS162,0.3662887513637543,0.3030855771394285,0.013343696482479572,0.14285714285714285,results_merged_3seed/hvg200/adamson__combined__s43f20-30.json
adamson,200,combined,43,SEL1L_pDS373,0.35947826504707336,0.37266481662041556,0.02643629163503647,0.17647058823529413,results_merged_3seed/hvg200/adamson__combined__s43f30-40.json
adamson,200,combined,43,SLC39A7_pDS219,0.4417974352836609,0.2865266631665792,0.013235059566795826,0.25,results_merged_3seed/hvg200/adamson__combined__s43f40-50.json
adamson,200,combined,43,SLMO2_pDS433,0.8469396829605103,0.8067261681542038,0.07506159693002701,0.5384615384615384,results_merged_3seed/hvg200/adamson__combined__s43f0-10.json
adamson,200,combined,43,SOCS1_pDS479,0.401810884475708,0.4787099677491938,0.021400732919573784,0.2903225806451613,results_merged_3seed/hvg200/adamson__combined__s43f10-20.json
adamson,200,combined,43,SPCS2_pDS401,0.49599406123161316,0.4647086177154429,0.009564977139234543,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s43f20-30.json
adamson,200,combined,43,SRPR_pDS482,-0.2031439244747162,-0.1975684392109803,0.03026885911822319,0.05263157894736842,results_merged_3seed/hvg200/adamson__combined__s43f0-10.json
adamson,200,combined,43,STT3A_pDS011,0.40976423025131226,0.3845886147153679,0.011182831600308418,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s43f20-30.json
adamson,200,combined,43,TIMM23_pDS284,0.7969520092010498,0.687825695642391,0.013540037907660007,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s43f0-10.json
adamson,200,combined,43,TMEM167A_pDS038,0.6502214670181274,0.7310488003633607,0.018335118889808655,0.25,results_merged_3seed/hvg200/adamson__combined__s43f40-50.json
adamson,200,combined,43,TTI2_pDS408,-0.17017272114753723,0.06789169729243232,0.018367839977145195,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s43f40-50.json
adamson,200,combined,43,UFL1_pDS410,0.5585059523582458,0.47796744918622974,0.009398755617439747,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s43f20-30.json
adamson,200,combined,43,UFM1_pDS040,0.5498117208480835,0.48376509412735325,0.008267946541309357,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s43f10-20.json
adamson,200,combined,43,YIPF5_pDS186,0.5642474889755249,0.5711737793444837,0.02050895430147648,0.25,results_merged_3seed/hvg200/adamson__combined__s43f0-10.json
adamson,200,combined,44,AMIGO3_pDS434,0.42274171113967896,0.34539126430335604,0.010617434978485107,0.08108108108108109,results_merged_3seed/hvg200/adamson__combined__s44f10-20.json
adamson,200,combined,44,ARHGAP22_pDS458,0.27709394693374634,0.3772834320858022,0.0202596727758646,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s44f20-30.json
adamson,200,combined,44,ASCC3_pDS052,0.1939258873462677,0.3068162854632652,0.04549640044569969,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s44f10-20.json
adamson,200,combined,44,ATP5B_pDS055,0.6765484809875488,0.5206009602494029,0.015342327766120434,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s44f30-40.json
adamson,200,combined,44,CAD_pDS468,-0.09670963138341904,0.010294757368934225,0.08556131273508072,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s44f40-50.json
