dataset,hvg,graph,condition,pearson_r,pearson_seed_sd,n_seeds,spearman_rho,mse,jaccard
norman,500,combined,FOXA3_FOXF1,0.6857127149899801,0.0008314871068749117,3,0.5265123915085133,0.03548772136370341,0.3333333333333333
norman,500,combined,FOXA3_FOXL2,0.524683435757955,0.0011987069487769193,3,0.49561770226045926,0.20530901352564493,0.25
norman,500,combined,HES7,0.7761011322339376,0.052820794725931514,3,0.5182428534092423,0.6785346269607544,0.18903318903318903
norman,500,combined,HOXB9,0.7961686253547668,0.0009436375765039123,3,0.5967845774611399,0.00808796752244234,0.4462081128747795
norman,500,combined,IGDCC3_MAPK1,0.3297138015429179,0.0018319413030204773,3,0.4057541447546786,0.04636204366882642,0.17647058823529413
norman,500,combined,IRF1_SET,0.35733694831530255,0.0004737206275894285,3,0.33596284785139136,0.21868486205736795,0.12169312169312169
norman,500,combined,ISL2,0.4050360321998596,0.0016969006360361332,3,0.38365323544365415,0.01490341437359651,0.1111111111111111
norman,500,combined,KLF1_BAK1,0.05843658993641535,0.011893923505316208,3,-0.028207554184179365,0.039900033424297966,0.0346378767431399
norman,500,combined,KLF1_CLDN6,0.4937729338804881,0.001233252350420033,3,0.5002370729710531,0.13773870468139648,0.15406162464985995
norman,500,combined,KLF1_COL2A1,0.2798372010389964,0.0016773654983463881,3,0.35616426520500327,0.05845782160758972,0.025641025641025644
norman,500,combined,KLF1_TGFBR2,0.26119644443194073,0.0018065162986204662,3,0.1705278902969001,0.03578448171416918,0.05263157894736842
norman,500,combined,LHX1,0.49747520685195923,0.19170006931029507,3,0.4533374722299883,0.07651209582885106,0.13227513227513227
norman,500,combined,LHX1_ELMSAN1,0.3328388035297394,0.00029201534096745416,3,0.4647786222691761,0.09536715845266978,0.1111111111111111
norman,500,combined,LYL1_IER5L,0.8372925917307535,0.0005606887921832217,3,0.6063529665168091,0.02113516132036845,0.5194681861348528
norman,500,combined,MAP2K3_IKZF3,0.5456101695696512,0.003226703303161969,3,0.46738909677372553,0.09827796369791031,0.12169312169312169
norman,500,combined,MAP2K3_MAP2K6,-0.5250744024912516,0.002679504120969401,3,-0.12045776761304344,0.040163456151882805,0.23737373737373738
norman,500,combined,MAP2K6,-0.5401698350906372,0.004325548476189766,3,-0.12143333664774669,0.03343110655744871,0.21212121212121213
norman,500,combined,MAP7D1,-0.14674008886019388,0.0010742620920437228,3,0.14713295465658294,0.022714956973989803,0.05263157894736842
norman,500,combined,MAPK1_IKZF3,0.7714468439420065,0.0011036479856725617,3,0.5614932118761984,0.04723273838559786,0.1111111111111111
norman,500,combined,MAPK1_PRTG,0.5685586730639139,0.0002448895136515561,3,0.37871410903471375,0.016061805188655853,0.14285714285714285
norman,500,combined,OSR2,0.3291712701320648,0.0003951057061097668,3,0.5061867607470429,0.06267757962147395,0.0
norman,500,combined,PTPN1,0.7465637922286987,0.00194853031529954,3,0.362938891755567,0.021758075182636578,0.25
norman,500,combined,PTPN12_SNAI1,0.6846370100975037,0.002791329601937743,3,0.4523032017786388,0.013537333346903324,0.3333333333333333
norman,500,combined,SAMD1_PTPN12,0.7463444670041403,0.0007069761976726637,3,0.5389688132277836,0.03882856294512749,0.18835412953060013
norman,500,combined,SET,0.49312061071395874,0.021042816525540454,3,0.2641423429087879,0.057257515688737236,0.17647058823529413
norman,500,combined,SET_KLF1,0.40442708134651184,0.0017856469807662654,3,0.22432514283578608,0.04525115837653478,0.1111111111111111
norman,500,combined,SGK1_TBX3,0.5147925217946371,0.00014484268807182291,3,0.5242310535057594,0.09132106105486552,0.3639846743295019
norman,500,combined,SLC4A1,0.2938617219527562,0.06286090808364331,3,0.24926182501186792,0.09978806972503662,0.1111111111111111
norman,500,combined,TGFBR2_PRTG,0.6423679788907369,0.0015292366650319922,3,0.41312659425149284,0.02349160984158516,0.13227513227513227
